Title,Artist
"Chain Breaker","Zach Williams"
"Beautiful Things","Gungor"
"I Am Free","Newsboys"
"My Savior My God","Aaron Shust"
"Resurrecting (Live)","Elevation Worship"
"Even So Come","Passion"
"Glory To God Forever","Fee"
"God Of Wonders","Third Day"
"Stronger","Hillsong Worship"
"Overcome","Jon Egan"
"Take My Life","Chris Tomlin"
"I Heard The Bells On Christmas Day","Casting Crowns"
"Emmanuel (Hallowed Manger Ground)","Chris Tomlin"
"Gratitude","Brandon Lake"
"Holy Forever","Chris Tomlin"
"I Thank God","Maverick City Music & UPPERROOM"
"Trust In God","Elevation Worship"
"Oceans (Where Feet May Fail)","Hillsong UNITED"
"So Will I (100 Billion X)","Hillsong UNITED"
"Good Grace","Hillsong UNITED"
"God Turn It Around","Jon Reddick"
"Wait On You","Elevation Worship & Maverick City Music"
"Talking To Jesus","Elevation Worship"
"Never Lost","Tauren Wells"
"Rattle!","Elevation Worship"
"The Commission","CAIN"
"I Speak Jesus","Charity Gayle"
"God So Loved","We The Kingdom"
"Still The King","Commonly Performed"
"What An Awesome God","Phil Wickham"
"No One Like The Lord","Circuit Rider Music"
"Our God Reigns","Leonard E. Smith Jr."
"The Stand","Hillsong UNITED"
"Even If","MercyMe"
"Praise You In This Storm","Casting Crowns"
"In The Secret","Andy Park"
"Come Now Is The Time To Worship","Brian Doerksen"
"Lord, I Lift Your Name On High","Rick Founds"
"Here I Am To Worship","Tim Hughes"
"I Could Sing Of Your Love Forever","Delirious?"
"We Fall Down","Chris Tomlin"
"Trading My Sorrows","Darrell Evans"
"Shine Jesus Shine","Graham Kendrick"
"All The Poor And Powerless","All Sons & Daughters"
"Christ Be All Around Me","All Sons & Daughters"
"Amazing Love (You Are My King)","Billy Foote"
"Come Thou Fount","Traditional Hymn"
"Be Thou My Vision","Traditional Hymn"
"Great Is Thy Faithfulness","Traditional Hymn"
"Doxology","Traditional Hymn"
"Holy, Holy, Holy","Traditional Hymn"
"Turn Your Eyes Upon Jesus","Traditional Hymn"
"The King Is In The Room","Phil Wickham"
"Song Of The Saints","People & Songs"
"Victory In Jesus (Christ Won The Victory)","Modern Arrangement"
"Cry Out","Commonly Performed"
"Come To Jesus","Chris Rice"
"He Who Is To Come","Passion"
"Somebody Prayed","Crowder"
"Holy Forever (Christmas)","Chris Tomlin"
"O Holy Night / Holy Forever","Medley"
"The Joy / Joy To The World","Medley"
"O Come All Ye Faithful (His Name Shall Be)","Modern Arrangement"
"Angels (Glory To God)","Chris Tomlin"
"Joy To The World (Joyful Joyful)","Medley"
"What He's Done","Passion"
"He Is","Crowder"
"I'm Not Alone","Kari Jobe"
"Honey In The Rock","Brooke Ligertwood"
"Same Jesus","Elevation Worship"
"Christ Our Hope In Life And Death","Getty Music"
"All Glory Be To Christ","Kings Kaleidoscope"
"Jesus Thank You","Sovereign Grace Music"
"There Is One Gospel","Getty Music"
"Ancient Of Days","CityAlight"
"Speak O Lord","Getty Music"
"Come People Of The Risen King","Getty Music"
"The Lord Our God","Passion"
"All Hail The Power Of Jesus' Name","Traditional Hymn"
"Before The Throne Of God Above","Traditional Hymn"
"Jesus Loves Me","Traditional"
"Jesus Loves The Little Children","Traditional"
"O God Beyond All Praising","Traditional"
"And Can It Be","Traditional"
"How Firm A Foundation","Traditional"
"Be Still My Soul","Traditional"
"The Solid Rock","Traditional"
"His Eye Is On The Sparrow","Traditional"
"Tis So Sweet To Trust In Jesus","Traditional"
"I Need Thee Every Hour","Traditional"
"Guide Me O Thou Great Jehovah","Traditional"
"It Is Well","Kristene DiMarco & Bethel Music"
"Shout To The North","Hillsong Worship"
"Lord I Give You My Heart","Hillsong Worship"
"Jesus Lover Of My Soul","Hillsong Worship"
"The Power Of Your Love","Geoff Bullock"
"Days Of Elijah","Robin Mark"
"A New Hallelujah","Michael W. Smith"
"Resurrecting","Elevation Worship"
"Abide With Me","Traditional"
"Bless God","Brooks & Dunn"
"Abandoned","Benny Hester"
"Love of God","MercyMe"
"Trust And Obey","Traditional Hymn"
"So So Good","Maverick City Music"
"Let It Be A Hallelujah","Josh Wilson"
"Oh My Soul (Psalm 103)","Chris Tomlin"
"That's My King","CeCe Winans"
"10,000 Armies","Commonly Performed"
"Can't Stop Praisin'","Elevation Rhythm"
"I Believe","Phil Wickham"
"New Thing Coming","Commonly Performed"
"The Jesus Way","Phil Wickham"
"The Blood","Kari Jobe"
"Goodbye Yesterday","Elevation Worship"
"As For Me And My House","Commonly Performed"
"Counting My Blessings","Seph Schlueter"
"Kingdom","Commonly Performed"
"I've Got Joy","Commonly Performed"
"Sevens","Maverick City Music"
"People of Heaven","Hillsong Worship"
"The First Hymn","Phos"
"That's Who I Praise","Brandon Lake"
"The Father's House","Cory Asbury"
"Evidence","Josh Baldwin"
"My Testimony","Elevation Worship"
"Champion","Bethel Music"
"Surrounded (Fight My Battles)","Upperroom"
"Yes And Amen","Housefires"
"Same Power","Jeremy Camp"
"God Of The Promise","Everlasting Arms"
"Touch Of Heaven","Hillsong Worship"
"Broken Vessels (Amazing Grace)","Hillsong Worship"
"Spirit Break Out","Kim Walker-Smith"
"Never Walk Alone","Hillsong Worship"
"Come To The Table","Sidewalk Prophets"
"In Jesus Name (God Of Possible)","Katy Nichole"
"Wonderful Merciful Savior","Selah"
"Rescue","Lauren Daigle"
"Lord Send Revival","Hillsong Young & Free"
"Worthy Is Your Name","Passion"
"Be Enthroned","Bethel Music"
"Holy Ground","Passion"
"Come Holy Spirit","Passion"
"Jesus, Name Above All Names","Naida Hearn"
"I Exalt Thee","Pete Sanchez Jr."
"I Worship You Almighty God","Sondra Corbett"
"Only A Holy God","CityAlight"
"Goodness, Love And Mercy","Chris Tomlin"
"Christ and Christ Crucified","Lindsey Williams"
"Jesus, Only Jesus","Vertical Worship"
"Come Alive (Dry Bones)","Lauren Daigle"
"Miracles","Chris McClarney"
"Nothing Is Impossible","Planetshakers"
"King of Glory","Third Day"
"Everlasting Arms","Traditional Hymn"
"Beautiful Savior","Stuart Townend"
"Behold the King","Hillsong Worship"
"God of All My Days","Casting Crowns"
"Sing Wherever I Go","We The Kingdom"
"Sing Sing Sing","Chris Tomlin"
"Unfailing Love","Chris Tomlin"
"Made To Worship","Chris Tomlin"
"Famous One","Chris Tomlin"
"God With Us","MercyMe"
"Emmanuel","Traditional Hymn"
"Forever And Ever, Amen","Randy Travis"
"Jesus At The Center","Israel Houghton"
"Our God Saves","Paul Baloche"
"All The Earth Will Sing Your Praises","Paul Baloche"
"Above All","Michael W. Smith"
"Amazed (I Stand Amazed)","Chris Tomlin"
"Lord Reign In Me","Brenton Brown"
